instance,xsize,ysize,blocked_nodes,density,number_of_agents
X3Y3R,3,3,0,0.2222222222222222,1
instance,xsize,ysize,blocked_nodes,density,number_of_agents
X3Y3R,3,3,0,0.2222222222222222,1
instance,xsize,ysize,blocked_nodes,density,number_of_agents
X3Y3R,3,3,0,0.2222222222222222,1
instance,xsize,ysize,blocked_nodes,density,number_of_agents
X3Y3R,3,3,0,0.2222222222222222,1
instance,xsize,ysize,blocked_nodes,density,number_of_agents
X3Y3R,3,3,0,0.4444444444444444,2
instance,xsize,ysize,blocked_nodes,density,number_of_agents
X3Y3R,3,3,0,0.4444444444444444,2
instance,xsize,ysize,blocked_nodes,density,number_of_agents
X3Y3R,3,3,0,0.4444444444444444,2
instance,xsize,ysize,blocked_nodes,density,number_of_agents
X3Y3R,3,3,0,0.4444444444444444,2
instance,xsize,ysize,blocked_nodes,density,number_of_agents
X3Y3R,3,3,0,0.6666666666666666,3
instance,xsize,ysize,blocked_nodes,density,number_of_agents
X3Y3R,3,3,0,0.6666666666666666,3
instance,xsize,ysize,blocked_nodes,density,number_of_agents
X3Y3R,3,3,0,0.6666666666666666,3
instance,xsize,ysize,blocked_nodes,density,number_of_agents
X3Y3R,3,3,0,0.6666666666666666,3
instance,xsize,ysize,blocked_nodes,density,number_of_agents
X3Y3R,3,3,0,0.8888888888888888,4
instance,xsize,ysize,blocked_nodes,density,number_of_agents
X3Y3R,3,3,0,0.8888888888888888,4
instance,xsize,ysize,blocked_nodes,density,number_of_agents
X3Y3R,3,3,0,0.8888888888888888,4
instance,xsize,ysize,blocked_nodes,density,number_of_agents
X3Y3R,3,3,0,0.8888888888888888,4
instance,xsize,ysize,blocked_nodes,density,number_of_agents
X3Y3R,3,3,0,1.1111111111111112,5
instance,xsize,ysize,blocked_nodes,density,number_of_agents
X3Y3R,3,3,0,1.1111111111111112,5
instance,xsize,ysize,blocked_nodes,density,number_of_agents
X3Y3R,3,3,0,1.1111111111111112,5
instance,xsize,ysize,blocked_nodes,density,number_of_agents
X3Y3R,3,3,0,1.1111111111111112,5
instance,xsize,ysize,blocked_nodes,density,number_of_agents
X3Y3R,3,3,0,1.3333333333333333,6
instance,xsize,ysize,blocked_nodes,density,number_of_agents
X3Y3R,3,3,0,1.3333333333333333,6
instance,xsize,ysize,blocked_nodes,density,number_of_agents
X3Y3R,3,3,0,1.3333333333333333,6
instance,xsize,ysize,blocked_nodes,density,number_of_agents
X3Y3R,3,3,0,1.3333333333333333,6
instance,xsize,ysize,blocked_nodes,density,number_of_agents
X3Y3R,3,3,0,1.5555555555555556,7
instance,xsize,ysize,blocked_nodes,density,number_of_agents
X3Y3R,3,3,0,1.5555555555555556,7
instance,xsize,ysize,blocked_nodes,density,number_of_agents
X3Y3R,3,3,0,1.5555555555555556,7
